name,job_title,academic_level,field_of_research,profile_url,university,research_portal_url,school,orcid,openalex_author_id,openalex_author_ids,openalex_works_count,author_match_type,author_candidates
Nicole Ang,Senior Lecturer,C,Accounting,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,,,,ambiguous,Nicole Ang (7 works); Nicole Ang (1 works)
Maria Balatbat,Senior Lecturer,C,Accounting,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0001-5180-0057,A5087570372,A5087570372; A5147041459,33,name+institution,"Maria C. A. Balatbat (33 works, orcid); Maria Balatbat (1 works)"
Francisco Barillas Bedoya,Head of School,E,Finance,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,,School of Banking and Finance,,,,,not found,
Dale Boccabella,Associate Professor,D,Accounting,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,A5058627756,A5058627756,49,name+institution,Dale Boccabella (49 works)
Rodney Brown,Senior Lecturer,C,Accounting,https://www.unsw.edu.au/staff/rodney-brown,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,A5112425101,A5112425101,6,name+institution,Rodney J. Brown (6 works)
Elizabeth Carson,Emeritus Professor,E,Accounting,https://www.unsw.edu.au/staff/elizabeth-carson,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0003-1601-4290,A5102739755,A5102739755,42,name+institution,"Elizabeth Carson (42 works, orcid)"
Linda Chang,Associate Professor,D,Accounting,https://www.unsw.edu.au/staff/linda-chang,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0002-2844-6149,A5048806060,A5048806060,10,name+institution,"Linda Chang (10 works, orcid)"
Wei Chen,Professor,E,Accounting,https://www.unsw.edu.au/staff/wei-chen,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,,,,not found,
Zongxi Chen,Associate Lecturer,A,Accounting,https://www.unsw.edu.au/staff/zongxi-chen,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,A5123542660,A5123542660,3,name+institution,Zongxi Chen (3 works)
Mandy Cheng,Professor,E,Accounting,https://www.unsw.edu.au/staff/mandy-cheng,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0003-2487-2543,A5017140509,A5017140509,51,name+institution,"Mandy M. Cheng (51 works, orcid)"
Demi Chung,Adjunct Senior Lecturer,C,Accounting,https://www.unsw.edu.au/staff/demi-chung,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0002-9678-7412,A5101947041,A5101947041,31,name+institution,"Demi Chung (31 works, orcid)"
Oleg Chuprinin,Associate Professor,D,Finance,https://www.unsw.edu.au/staff/oleg-chuprinin,UNSW Sydney,,School of Banking and Finance,0000-0003-4805-2451,A5047463895,A5047463895,19,name+institution,"Oleg Chuprinin (19 works, orcid)"
Victoria Clout,Senior Lecturer,C,Accounting,https://www.unsw.edu.au/staff/victoria-clout,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0002-3442-7315,A5055376529,A5055376529,20,name+institution,"Victoria Clout (20 works, orcid)"
Conor Clune,Associate Professor,D,Accounting,https://www.unsw.edu.au/staff/conor-clune,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0002-8894-3438,A5029605416,A5029605416,9,name+institution,"Conor Clune (9 works, orcid)"
David Colwell,Senior Lecturer,C,Finance,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,,School of Banking and Finance,0000-0002-5180-5816,A5069756293,A5069756293,57,name+institution,"David B. Colwell (57 works, orcid)"
Jeff Coulton,Associate Professor,D,Accounting,https://www.unsw.edu.au/staff/jeff-coulton,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,A5072346311,A5072346311,24,name+institution,Jeff Coulton (24 works)
Lili Dai,Associate Professor,D,Accounting,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0001-7512-5535,A5038905034,A5038905034; A5120986677,96,name+institution,"Lili Dai (96 works, orcid); Lili Dai (2 works)"
