espace_id,name,journal_name,title,year,author_count,authors,quality_rank,sjr_quartile,doi,article_url,link,source,citation_percentile,cited_by_count,fwci,university,field_of_research,researcher_id,publication_id,issn,eissn,item_type,publication_status,abdc_match_method,abdc_match_status,harvested_at,orcid,openalex_author_id
usyd-accounting-nurul.alam,Nurul Alam,Abacus,The Signalling Effect of Corporate Social Responsibility Reporting: Evidence From Short Selling,2026,3,Xiao Liang; Xiaomeng Charlene Chen; Nurul Alam,,,10.1111/abac.12349,https://doi.org/10.1111/abac.12349,https://profiles.sydney.edu.au/nurul.alam/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-nurul.alam,doi-9bed5e07dbebbd66b0e9,0001-3072,,Journal Article,Published,,,2026-08-29T18:47:07.392600+00:00,0000-0002-9956-2753,
usyd-accounting-nurul.alam,Nurul Alam,Abacus,Managerial Ability and Debt Choice,2025,4,Samsul Alam; Mostafa Monzur Hasan; Nurul Alam; Shahidul Islam,,,10.1111/abac.12334,https://doi.org/10.1111/abac.12334,https://profiles.sydney.edu.au/nurul.alam/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-nurul.alam,doi-a9f5d62c6f6572772779,0001-3072,,Journal Article,Published,,,2026-08-29T18:47:07.392633+00:00,0000-0002-9956-2753,
usyd-accounting-nurul.alam,Nurul Alam,Journal of International Financial Markets Institutions and Money,Real earnings management and debt choice,2024,4,Mostafa Monzur Hasan; Nurul Alam; Mohammad Riaz Uddin; Stewart Jones,,,10.1016/j.intfin.2024.102080,https://doi.org/10.1016/j.intfin.2024.102080,https://profiles.sydney.edu.au/nurul.alam/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-nurul.alam,doi-00bfbb37ce6a1d9ed5a1,1042-4431,,Journal Article,Published,,,2026-08-29T18:47:07.392652+00:00,0000-0002-9956-2753,
usyd-accounting-nurul.alam,Nurul Alam,International Review of Financial Analysis,Brand capital and debt choice,2024,4,Nurul Alam; Sabri Boubaker; Xiaomeng Charlene Chen; Mostafa Monzur Hasan,,,10.1016/j.irfa.2024.103160,https://doi.org/10.1016/j.irfa.2024.103160,https://profiles.sydney.edu.au/nurul.alam/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-nurul.alam,doi-bbbd36487b52de296043,1057-5219,,Journal Article,Published,,,2026-08-29T18:47:07.392668+00:00,0000-0002-9956-2753,
usyd-accounting-nurul.alam,Nurul Alam,Journal of International Financial Markets Institutions and Money,Does strategic deviation influence firms’ use of supplier finance?,2023,5,Xiaomeng Charlene Chen; Stewart Jones; Mostafa Monzur Hasan; Ruoyun Zhao; Nurul Alam,,,10.1016/j.intfin.2023.101787,https://doi.org/10.1016/j.intfin.2023.101787,https://profiles.sydney.edu.au/nurul.alam/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-nurul.alam,doi-98b92d2d2997b300e4b9,1042-4431,,Journal Article,Published,,,2026-08-29T18:47:07.392699+00:00,0000-0002-9956-2753,
usyd-accounting-nurul.alam,Nurul Alam,International Review of Financial Analysis,Asset redeployability and trade credit,2022,2,Mostafa Monzur Hasan; Nurul Alam,,,10.1016/j.irfa.2022.102024,https://doi.org/10.1016/j.irfa.2022.102024,https://profiles.sydney.edu.au/nurul.alam/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-nurul.alam,doi-0714f1c9645e5b42125c,1057-5219,,Journal Article,Published,,,2026-08-29T18:47:07.392713+00:00,0000-0002-9956-2753,
usyd-accounting-nurul.alam,Nurul Alam,Journal of International Financial Markets Institutions and Money,Corporate failure prediction: An evaluation of deep learning vs discrete hazard models,2021,3,Nurul Alam; Junbin Gao; Stewart Jones,,,10.1016/j.intfin.2021.101455,https://doi.org/10.1016/j.intfin.2021.101455,https://profiles.sydney.edu.au/nurul.alam/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-nurul.alam,doi-c0103850312a99e20e08,1042-4431,,Journal Article,Published,,,2026-08-29T18:47:07.392727+00:00,0000-0002-9956-2753,
usyd-accounting-nurul.alam,Nurul Alam,Abacus,Asset Redeployability and Corporate Tax Avoidance,2021,3,Mostafa Monzur Hasan; Ahsan Habib; Nurul Alam,,,10.1111/abac.12211,https://doi.org/10.1111/abac.12211,https://profiles.sydney.edu.au/nurul.alam/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-nurul.alam,doi-bcf4c964ad337602afd2,0001-3072,,Journal Article,Published,,,2026-08-29T18:47:07.392740+00:00,0000-0002-9956-2753,
usyd-accounting-nurul.alam,Nurul Alam,Accounting and Finance,A machine learning analysis of citation impact among selected Pacific Basin journals,2019,2,Stewart Jones; Nurul Alam,,,10.1111/acfi.12584,https://doi.org/10.1111/acfi.12584,https://profiles.sydney.edu.au/nurul.alam/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-nurul.alam,doi-974374e31074568d80f4,0810-5391,,Journal Article,Published,,,2026-08-29T18:47:07.392753+00:00,0000-0002-9956-2753,
usyd-accounting-edward.anderson,Eddie Anderson,INFORMS Journal on Optimization,On the Out-of-Sample Performance of Stochastic Dynamic Programming and Model Predictive Control,2026,3,Dominic S T Keehan; Andrew B Philpott; Edward J Anderson,,,10.1287/ijoo.2024.0060,https://doi.org/10.1287/ijoo.2024.0060,https://profiles.sydney.edu.au/edward.anderson/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-edward.anderson,doi-d84144fe95f239a33390,2575-1484,,Journal Article,Published,,,2026-08-29T18:47:07.868625+00:00,0000-0002-6375-4067,
usyd-accounting-edward.anderson,Eddie Anderson,Current Sustainable/Renewable Energy Reports,Ten challenges for mathematical modeling of the green-energy transition,2025,11,Edward Anderson; Michael Ferris; Andrew Philpott; Mihai Anitescu; Peter Cramton; Sijia Geng; Richard Green; Tito Homem-de-Mello; Olivier Huber; Vincent Leclère; Ramteen Sioshansi,,,10.1007/s40518-025-00274-9,https://doi.org/10.1007/s40518-025-00274-9,https://profiles.sydney.edu.au/edward.anderson/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-edward.anderson,doi-54473ef9eb3b88cbb9d1,2196-3010,,Journal Article,Published,,,2026-08-29T18:47:07.868662+00:00,0000-0002-6375-4067,
usyd-accounting-edward.anderson,Eddie Anderson,European Journal of Operational Research,Minimax decision rules for planning under uncertainty: Drawbacks and remedies,2023,2,Edward Anderson; Stan Zachary,,,10.1016/j.ejor.2023.05.030,https://doi.org/10.1016/j.ejor.2023.05.030,https://profiles.sydney.edu.au/edward.anderson/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-edward.anderson,doi-d37c17c72f86e31611e2,0377-2217,,Journal Article,Published,,,2026-08-29T18:47:07.868680+00:00,0000-0002-6375-4067,
usyd-accounting-edward.anderson,Eddie Anderson,Naval Research Logistics,Competitive contract design in a retail supply chain under demand uncertainty,2023,3,Edward Anderson; Houyuan Jiang; Lusheng Shao,,,10.1002/nav.22118,https://doi.org/10.1002/nav.22118,https://profiles.sydney.edu.au/edward.anderson/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-edward.anderson,doi-db450f9bea7e0e5167c4,0894-069X,,Journal Article,Published,,,2026-08-29T18:47:07.868695+00:00,0000-0002-6375-4067,
usyd-accounting-edward.anderson,Eddie Anderson,Operations Research,Capacity Games with Supply Function Competition,2022,3,Edward Anderson; Bo Chen; Lusheng Shao,,,10.1287/opre.2021.2221,https://doi.org/10.1287/opre.2021.2221,https://profiles.sydney.edu.au/edward.anderson/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-edward.anderson,doi-b113bfd27c7624b9685b,0030-364X,,Journal Article,Published,,,2026-08-29T18:47:07.868709+00:00,0000-0002-6375-4067,
usyd-accounting-edward.anderson,Eddie Anderson,INFORMS Journal on Optimization,Improving Sample Average Approximation Using Distributional Robustness,2022,2,Edward Anderson; Andy Philpott,,,10.1287/ijoo.2021.0061,https://doi.org/10.1287/ijoo.2021.0061,https://profiles.sydney.edu.au/edward.anderson/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-edward.anderson,doi-a24b47a8febbd358e841,2575-1484,,Journal Article,Published,,,2026-08-29T18:47:07.868748+00:00,0000-0002-6375-4067,
usyd-accounting-edward.anderson,Eddie Anderson,Oxford Bulletin of Economics and Statistics,"A Simple Estimator of Two‐Dimensional Copulas, with Applications1",2020,3,Eddie Anderson; Artem Prokhorov; Yajing Zhu,,,10.1111/obes.12371,https://doi.org/10.1111/obes.12371,https://profiles.sydney.edu.au/edward.anderson/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-edward.anderson,doi-955f1b86c97835fe1d5f,0305-9049,,Journal Article,Published,,,2026-08-29T18:47:07.868780+00:00,0000-0002-6375-4067,
usyd-accounting-edward.anderson,Eddie Anderson,Foundations and Trends® in Technology Information and Operations Management,Achieving Efficiency in Capacity Procurement,2020,3,Lusheng Shao; Edward Anderson; Bo Chen,,,10.1561/0200000096-8,https://doi.org/10.1561/0200000096-8,https://profiles.sydney.edu.au/edward.anderson/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-edward.anderson,doi-a9cb7083511ad82f446b,1571-9545,,Journal Article,Published,,,2026-08-29T18:47:07.868804+00:00,0000-0002-6375-4067,
usyd-accounting-edward.anderson,Eddie Anderson,Operations Research Letters,When can we improve on sample average approximation for stochastic optimization?,2020,2,Edward Anderson; Harrison Nguyen,,,10.1016/j.orl.2020.05.016,https://doi.org/10.1016/j.orl.2020.05.016,https://profiles.sydney.edu.au/edward.anderson/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-edward.anderson,doi-364a64462ba25146d045,0167-6377,,Journal Article,Published,,,2026-08-29T18:47:07.868831+00:00,0000-0002-6375-4067,
usyd-accounting-edward.anderson,Eddie Anderson,European Journal of Operational Research,Buyer’s optimal information revelation strategy in procurement auctions,2020,2,Cheng Qian; Edward Anderson,,,10.1016/j.ejor.2019.11.061,https://doi.org/10.1016/j.ejor.2019.11.061,https://profiles.sydney.edu.au/edward.anderson/publications,Sydney Profiles,,,,University of Sydney,Accounting,usyd-accounting-edward.anderson,doi-f9b3523de836715e7465,0377-2217,,Journal Article,Published,,,2026-08-29T18:47:07.868851+00:00,0000-0002-6375-4067,
