researcher_id,researcher_name,publication_id,relationship_source,researcher_match_method,researcher_match_confidence,requires_review,review_reason,openalex_work_id,openalex_match_method,openalex_match_confidence,openalex_candidate_count,openalex_requires_review,openalex_review_reason,cited_by_count,fwci,citation_percentile,openalex_retrieved_at
uwa-accounting-001,Alex Yang,uwa-pub-0895f28c4d1ef1f3,official personal Pure publications feed,profile_feed_membership,high,false,,W4398221059,exact_doi,high,1,false,,1,0.4107,0.61867652,2026-08-29T03:05:00.187Z
uwa-accounting-001,Alex Yang,uwa-pub-753875d28eb6481b,official personal Pure publications feed,profile_feed_membership,high,false,,W4400368705,exact_doi,high,1,false,,4,3.0221,0.91730927,2026-08-29T03:05:00.187Z
uwa-accounting-001,Alex Yang,uwa-pub-0007630a1ad6b7f9,official personal Pure publications feed,profile_feed_membership,high,false,,W4412095841,exact_doi,high,1,false,,3,6.1693,0.95891078,2026-08-29T03:05:00.187Z
uwa-accounting-001,Alex Yang,uwa-pub-74f64136d34b2b88,official personal Pure publications feed,profile_feed_membership,high,false,,W4380887693,exact_doi,high,1,false,,5,1.2321,0.79673499,2026-08-29T03:05:00.187Z
uwa-accounting-001,Alex Yang,uwa-pub-52fb77065d4f8315,official personal Pure publications feed,profile_feed_membership,high,false,,W4396703752,exact_doi,high,1,false,,5,3.4928,0.92512497,2026-08-29T03:05:00.187Z
uwa-accounting-001,Alex Yang,uwa-pub-2fae16427f9fe312,official personal Pure publications feed,profile_feed_membership,high,false,,W4309914108,exact_doi,high,1,false,,6,1.3839,0.83573966,2026-08-29T03:05:00.187Z
uwa-accounting-001,Alex Yang,uwa-pub-75d6b61eee87c64e,official personal Pure publications feed,profile_feed_membership,high,false,,W4409598799,exact_doi,high,1,false,,14,29.6272,0.99629801,2026-08-29T03:05:00.187Z
uwa-accounting-001,Alex Yang,uwa-pub-40174d77942c0af2,official personal Pure publications feed,profile_feed_membership,high,false,,W4393336577,exact_doi,high,1,false,,4,2.7942,0.90522056,2026-08-29T03:05:00.187Z
uwa-accounting-001,Alex Yang,uwa-pub-511a5378f05c0213,official personal Pure publications feed,profile_feed_membership,high,false,,W4399459629,exact_doi,high,1,false,,16,8.0063,0.97448223,2026-08-29T03:05:00.187Z
uwa-accounting-001,Alex Yang,uwa-pub-e04cc09beaf10560,official personal Pure publications feed,profile_feed_membership,high,false,,W4296127752,exact_doi,high,1,false,,4,0.8261,0.75671702,2026-08-29T03:05:00.187Z
uwa-accounting-001,Alex Yang,uwa-pub-8a46f452cda7629e,official personal Pure publications feed,profile_feed_membership,high,false,,W4412713577,exact_doi,high,1,false,,1,1.4335,0.85325083,2026-08-29T03:05:00.187Z
uwa-accounting-002,Alex Zhang,uwa-pub-ae6fa1177c6ac65e,official personal Pure publications feed,profile_feed_membership,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:00.187Z
uwa-accounting-002,Alex Zhang,uwa-pub-61bf7eca046b6f4b,official personal Pure publications feed,profile_feed_membership,high,false,,W4415602242,exact_doi,high,1,false,,1,1.4858,0.87526584,2026-08-29T03:05:00.187Z
uwa-accounting-007,George Shan,uwa-pub-61bf7eca046b6f4b,official personal Pure publications feed,profile_feed_membership,high,false,,W4415602242,exact_doi,high,1,false,,1,1.4858,0.87526584,2026-08-29T03:05:00.187Z
uwa-accounting-002,Alex Zhang,uwa-pub-11e5aaa818d1b2b5,official personal Pure publications feed,profile_feed_membership,high,false,,W4413771303,exact_doi,high,1,false,,2,2.1139,0.88754334,2026-08-29T03:05:00.187Z
