researcher_id,researcher_name,orcid,openalex_author_id,openalex_author_ids,openalex_display_name,openalex_works_count,openalex_cited_by_count,openalex_institutions,match_method,match_confidence,name_agreement,university_affiliation_observed,candidate_count,requires_review,review_reason,retrieved_at
uwa-accounting-001,Alex Yang,0000-0003-1973-260X,A5086953811,A5086953811,Xing Yang,19,90,The University of Western Australia; Department of Finance; University of Auckland; The University of Melbourne; Victoria University; Xi'an Jiaotong University,exact_orcid,high,false,true,1,false,Accepted by exact official ORCID plus university affiliation; display-name alias differs,2026-08-29T03:05:00.187Z
uwa-accounting-002,Alex Zhang,0000-0003-2089-0365,A5053774592,A5053774592; A5135305135,Junru Zhang,12,98,Edith Cowan University; The University of Western Australia; Monash University,exact_orcid,high,false,true,2,false,Accepted by exact official ORCID plus university affiliation; display-name alias differs,2026-08-29T03:05:00.187Z
uwa-accounting-003,Collette Chesters,0009-0006-4135-7219,,,,,,,exact_orcid,none,false,false,0,true,ORCID returned no OpenAlex author,2026-08-29T03:05:00.187Z
uwa-accounting-004,David Gilchrist,0000-0003-0937-8934,A5002907180,A5002907180,David Gilchrist,228,853,The University of Western Australia; Australian National University; Public Policy Institute of California; Curtin University; Department of Finance; The University of Notre Dame Australia,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:00.187Z
uwa-accounting-005,Dhammi Azariadis,0009-0003-8724-2749,,,,,,,exact_orcid,none,false,false,0,true,ORCID returned no OpenAlex author,2026-08-29T03:05:00.187Z
uwa-accounting-006,Fangbin Lin,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:00.187Z
uwa-accounting-007,George Shan,0000-0002-5157-312X,A5088599693,A5088599693,Yuan George Shan,91,2022,"The University of Western Australia; Albany State University; Tongji University; Conference Board; University of South Australia; Ghent University Hospital; China Youth University for Political Sciences; Ghent University; University at Albany, State University of New York; Department of Finance; Research Network (United States); The University of Adelaide; RMIT University",exact_orcid,high,true,true,1,false,,2026-08-29T03:05:00.187Z
uwa-accounting-008,Glen Hutchings,0000-0003-0500-656X,A5003445719,A5003445719,Glen Hutchings,15,23,The University of Western Australia; Department of Finance,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:00.187Z
uwa-accounting-009,Leo Langa,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:00.187Z
uwa-accounting-010,Lyndie Bayne,0000-0002-2991-0265,A5079844536,A5079844536,Lyndie Bayne,27,236,The University of Western Australia; University of Cape Town,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:00.187Z
uwa-accounting-011,Mark Holub,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:00.187Z
uwa-accounting-012,Nikki Schonfeldt,0000-0002-9726-6475,A5060856621,A5060856621,Nikki Schönfeldt,7,93,The University of Western Australia,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:00.187Z
uwa-accounting-013,Phil Hancock,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:00.187Z
uwa-accounting-014,Prerana Agrawal,0000-0001-9410-4844,A5080907698,A5080907698,Prerana Agrawal,20,110,The University of Western Australia; Government Medical College,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:00.187Z
uwa-accounting-015,Ricky Chung,0000-0003-1875-7346,,,,,,,exact_orcid,none,false,false,0,true,ORCID returned no OpenAlex author,2026-08-29T03:05:00.187Z
uwa-accounting-016,Simeng Liu,0000-0002-6062-8743,,,,,,,exact_orcid,none,false,false,0,true,ORCID returned no OpenAlex author,2026-08-29T03:05:00.187Z
uwa-accounting-017,Stijn Masschelein,0000-0002-1291-6222,A5030089382,A5030089382,Stijn Masschelein,32,278,The University of Western Australia,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:00.187Z
uwa-accounting-018,Thanesvary Subraamanniam,0000-0002-3040-9152,A5041105984,A5041105984,Thanesvary Subraamanniam,3,94,The University of Western Australia; Murdoch University,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:00.187Z
uwa-accounting-019,Vincent Chong,0000-0003-4207-2718,A5055171810,A5055171810,Vincent K. Chong,75,2204,The University of Western Australia; Edith Cowan University; University of Malaya; Department of Finance,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:00.187Z
uwa-accounting-020,Warrick Van Zyl,0000-0001-8029-6611,A5059540919,A5059540919,Warrick van Zyl,12,49,The University of Western Australia,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:00.187Z
