publication_id,source_record_id,title,publication_year,publication_status,article_url,doi,journal_name,issn,eissn,all_issns,volume,issue,pages,authors,author_count,publication_type,open_access,scopus_url,field_of_research,official_source,source_url
uwa-pub-b7ee260fdaf0b117,2014-evaluation-of-the-sustainable-funding-and-contracting-with-t,2014 Evaluation of the Sustainable Funding and Contracting with the Not-for-profit Sector Initiatives and Associated Procurement Reforms,2015,Published - 2015,https://research-repository.uwa.edu.au/en/publications/2014-evaluation-of-the-sustainable-funding-and-contracting-with-t/,,,,,,,,,"Penelope Knight, David Gilchrist",1,Research output: Working paper › Discussion paper,true,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/2014-evaluation-of-the-sustainable-funding-and-contracting-with-t/
uwa-pub-5887b0992c9c7c8d,360-what-the-the-pros-and-cons-of-a-national-regulator-for-the-no,360: What the the pros and cons of a national regulator for the Not-for-profit sector?,2010,Published - 2010,https://research-repository.uwa.edu.au/en/publications/360-what-the-the-pros-and-cons-of-a-national-regulator-for-the-no/,,National Accountant,1039-608X,,1039-608X,27,3,,David Gilchrist,1,Research output: Contribution to journal › Article,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/360-what-the-the-pros-and-cons-of-a-national-regulator-for-the-no/
uwa-pub-99c5b5dfd01a6f9d,a-brave-new-world-australian-learning-outcomes-in-accounting-educ,A Brave New World: Australian Learning Outcomes in Accounting Education,2011,Published - 2011,https://research-repository.uwa.edu.au/en/publications/a-brave-new-world-australian-learning-outcomes-in-accounting-educ/,10.1080/09639284.2011.580915,Accounting Education,0963-9284,,0963-9284,20,3,265-273,"M. Freeman, Phil Hancock",1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/79959282790#tab=citedBy,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-brave-new-world-australian-learning-outcomes-in-accounting-educ/
uwa-pub-e4d13acf16aeedb1,a-combined-enquiry-approach-for-the-disability-sport-and-active-r,A combined enquiry approach for the Disability Sport and Active Recreation Implementation Plan,2014,Published - 2014,https://research-repository.uwa.edu.au/en/publications/a-combined-enquiry-approach-for-the-disability-sport-and-active-r/,,,,,,,,,"David Gilchrist, A. Charlton, Marion Tye",1,Research output: Book/Report › Other output,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-combined-enquiry-approach-for-the-disability-sport-and-active-r/
uwa-pub-d5b6c7e051d9f0e7,a-comparative-analysis-of-works-of-maryse-conde-and-gisele-pineau,A comparative analysis of works of Maryse Conde and Gisele Pineau: literary representations of trauma and its transgenerational effect on the postcolonial Caribbean family,2013,Unpublished - 2013,https://research-repository.uwa.edu.au/en/publications/a-comparative-analysis-of-works-of-maryse-conde-and-gisele-pineau/,,,,,,,,,Niroshani Dhammi Kumari Rathnayake Rathnayake Mudiyanselage,1,Research output: Thesis › Doctoral Thesis,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-comparative-analysis-of-works-of-maryse-conde-and-gisele-pineau/
uwa-pub-dde167c15db12c58,a-comparative-study-of-de-jure-and-de-facto-disclosure-between-au,A Comparative Study of De Jure and De Facto Disclosure Between Australia and Singapore,2003,Published - 2003,https://research-repository.uwa.edu.au/en/publications/a-comparative-study-of-de-jure-and-de-facto-disclosure-between-au/,,Asian Review of Accounting,1321-7348,,1321-7348,11,1,18-47,"E. Soewarso, G. Tower, Phil Hancock, R. Taplin",1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/69049093600#tab=citedBy,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-comparative-study-of-de-jure-and-de-facto-disclosure-between-au/
uwa-pub-a6bb43ff54cf4280,a-critical-examination-of-data-for-market-stewardship-the-case-of,A Critical Examination of Data for Market Stewardship: The Case of the Australian National Disability Insurance Scheme,2025,Published - Jun 2025,https://research-repository.uwa.edu.au/en/publications/a-critical-examination-of-data-for-market-stewardship-the-case-of/,10.1111/1467-8500.12677,Australian Journal of Public Administration,1467-8500,,1467-8500,84,2,442-454,"Eleanor Malbon, David Gilchrist, Gemma Carey, Helen Dickinson, Daniel Chamberlain, Anne Kavanagh, Satish Chand, Damon Alexander",1,Research output: Contribution to journal › Article › peer-review,true,https://www.scopus.com/pages/publications/85209117416#tab=citedBy,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-critical-examination-of-data-for-market-stewardship-the-case-of/
uwa-pub-26a8808767c66693,a-few-good-men-public-sector-audit-in-the-swan-river-colony-1828-,"”A Few Good Men"": Public sector audit in the Swan River Colony, 1828-1835",2013,Published - 2013,https://research-repository.uwa.edu.au/en/publications/a-few-good-men-public-sector-audit-in-the-swan-river-colony-1828-/,10.1177/1032373212471171,Accounting History,1032-3732,,1032-3732,18,2,193-209,"M. Bunn, David J. Gilchrist",1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/84877703084#tab=citedBy,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-few-good-men-public-sector-audit-in-the-swan-river-colony-1828-/
uwa-pub-58c30686d7474a86,a-few-reflections-on-the-current-state-of-play-for-not-for-profit,A few reflections on the current state of play for not-for-profit taxation arrangements,2013,Published - 2013,https://research-repository.uwa.edu.au/en/publications/a-few-reflections-on-the-current-state-of-play-for-not-for-profit/,,Taxation in Australia,0494-8343,,0494-8343,48,2,79-87,"D. Pinto, David Gilchrist, A. Morgan",1,Research output: Contribution to journal › Article › peer-review,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-few-reflections-on-the-current-state-of-play-for-not-for-profit/
uwa-pub-c1707b95c1537e28,a-framework-for-understanding-strategic-network-performance-explo,A framework for understanding strategic network performance: Exploring efficiency and effectiveness at the network level,2017,Published - Nov 2017,https://research-repository.uwa.edu.au/en/publications/a-framework-for-understanding-strategic-network-performance-explo/,10.1016/j.indmarman.2017.07.015,Industrial Marketing Management,0019-8501,,0019-8501,67,,134-147,"Lyndie Bayne, Daniel Schepis, Sharon Purchase",3,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/85027548919#tab=citedBy,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-framework-for-understanding-strategic-network-performance-explo/
uwa-pub-4cf8809e24134270,a-global-study-of-climate-uncertainty-and-carbon-assurance,A global study of climate uncertainty and carbon assurance,2025,Published - Jul 2025,https://research-repository.uwa.edu.au/en/publications/a-global-study-of-climate-uncertainty-and-carbon-assurance/,10.1016/j.bar.2024.101425,British Accounting Review,0890-8389,,0890-8389,57,4,,"Le Luo, Junru Zhang",1,Research output: Contribution to journal › Article › peer-review,true,https://www.scopus.com/pages/publications/85196365814#tab=citedBy,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-global-study-of-climate-uncertainty-and-carbon-assurance/
uwa-pub-5fa93278387c37ad,a-global-study-of-governmental-action-and-inaction-for-prevention,A global study of governmental action and inaction for prevention of money laundering,2007,Published - 2007,https://research-repository.uwa.edu.au/en/publications/a-global-study-of-governmental-action-and-inaction-for-prevention/,,,,,,n/a,,323,"G. Tower, M. Van Der Zhan, A. Brown, R. Taplin, Phil Hancock, D. Barako",1,Research output: Chapter in Book/Conference paper › Conference paper,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-global-study-of-governmental-action-and-inaction-for-prevention/
uwa-pub-c9a2a5ef397e48b7,a-longitudinal-study-of-the-wa-disability-sector-part-1-respondin,"A Longitudinal Study of the WA Disability Sector, Part 1: Responding to Change – Costing and Pricing",2012,Published - 2012,https://research-repository.uwa.edu.au/en/publications/a-longitudinal-study-of-the-wa-disability-sector-part-1-respondin/,,,,,,,,,David Gilchrist,1,Research output: Book/Report › Other output,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-longitudinal-study-of-the-wa-disability-sector-part-1-respondin/
uwa-pub-48caf84d0e764351,a-multi-medium-analysis-of-us-resources-companies-environmental-d,A Multi-medium Analysis of US resources companies' environmental disclosure practicesover time,2006,Published - 2006,https://research-repository.uwa.edu.au/en/publications/a-multi-medium-analysis-of-us-resources-companies-environmental-d/,,,,,,1,,249,"A. Razeed, G. Tower, Phil Hancock, R. Taplin",1,Research output: Chapter in Book/Conference paper › Conference paper,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-multi-medium-analysis-of-us-resources-companies-environmental-d/
uwa-pub-957894fdcf77c58c,a-national-costing-amp-pricing-framework-for-disability-services,A National Costing & Pricing Framework for Disability Services,2014,Published - 2014,https://research-repository.uwa.edu.au/en/publications/a-national-costing-amp-pricing-framework-for-disability-services/,,,,,,,,,David Gilchrist,1,Research output: Working paper › Discussion paper,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-national-costing-amp-pricing-framework-for-disability-services/
uwa-pub-6704a4002e190b79,a-national-discourse-in-75-reports-what-grey-literature-is-tellin,A National Discourse in 75 Reports? What Grey Literature is Telling Us About the NDIS,2022,Published - 18 Nov 2022,https://research-repository.uwa.edu.au/en/publications/a-national-discourse-in-75-reports-what-grey-literature-is-tellin/,,,,,,,,,"David Gilchrist, Ben Perks",2,Research output: Contribution to conference › Conference presentation/ephemera › peer-review,true,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-national-discourse-in-75-reports-what-grey-literature-is-tellin/
uwa-pub-42c26c94a897d875,a-new-approach-to-programs-for-families-and-children-submission-t,"A New Approach to Programs for Families and Children: Submission to the Department of Social Services, Australian Government",2025,Published - 8 Dec 2025,https://research-repository.uwa.edu.au/en/publications/a-new-approach-to-programs-for-families-and-children-submission-t/,,,,,,,,,"David Gilchrist, Ben Perks",2,Research output: Working paper › Discussion paper,true,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-new-approach-to-programs-for-families-and-children-submission-t/
uwa-pub-852ff018d0b2ce67,a-new-commonwealth-individual-disability-advocacy-program-submiss,"A New Commonwealth Individual Disability Advocacy Program: Submission to the Department of Health, Ageing and Disability",2026,Published - 16 Jan 2026,https://research-repository.uwa.edu.au/en/publications/a-new-commonwealth-individual-disability-advocacy-program-submiss/,,,,,,,,,"David Gilchrist, Ben Perks",2,Research output: Working paper › Discussion paper,true,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-new-commonwealth-individual-disability-advocacy-program-submiss/
uwa-pub-3a032a9462ae8f29,a-note-on-testing-a-model-of-cognitive-budgetary-participation-pr,A Note on Testing a Model of Cognitive Budgetary Participation Processes Using a Structural Equation Modeling Approach,2002,Published - 2002,https://research-repository.uwa.edu.au/en/publications/a-note-on-testing-a-model-of-cognitive-budgetary-participation-pr/,10.1016/s0882-6110(02)19003-1,Advances in Accounting,,,,19,,27-51,Vincent Chong,1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/33744508010#tab=citedBy,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-note-on-testing-a-model-of-cognitive-budgetary-participation-pr/
uwa-pub-498474232b82c697,a-study-on-the-implementation-of-an-activity-based-costing-abc-sy,A Study on the Implementation of an Activity-Based Costing (ABC) System in an Australian Oil and Gas Company,2002,Published - 2002,https://research-repository.uwa.edu.au/en/publications/a-study-on-the-implementation-of-an-activity-based-costing-abc-sy/,,Asian Review of Accounting,1321-7348,,1321-7348,10,2,81-99,"Vincent Chong, R. Cable",1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/84992957981#tab=citedBy,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-study-on-the-implementation-of-an-activity-based-costing-abc-sy/
uwa-pub-f8389d24590c068f,a-toolkit-for-developing-professional-skepticism-in-the-accountin,A Toolkit for Developing Professional Skepticism in the Accounting Classroom,2025,Published - Aug 2025,https://research-repository.uwa.edu.au/en/publications/a-toolkit-for-developing-professional-skepticism-in-the-accountin/,10.2308/issues-2023-115,Issues in Accounting Education,0739-3172,,0739-3172,40,3,119-140,"Prerana Agrawal, Jacqueline Birt, Mark Holub, Warrick Van Zyl",3,Research output: Contribution to journal › Article › peer-review,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-toolkit-for-developing-professional-skepticism-in-the-accountin/
uwa-pub-c2119db810d475bc,aasb-research-centre-working-paper-no-26-02-service-performance-r,AASB Research Centre Working Paper No. 26-02: Service Performance Reporting for Private Sector Not-for-profits - An Updated Literature Review,2025,Published - 2025,https://research-repository.uwa.edu.au/en/publications/aasb-research-centre-working-paper-no-26-02-service-performance-r/,,,,,,,,,"Ushi Ghoorah, David Gilchrist, Vien Chu, Mono Nikidehaghani, Cheri Yang, Yuyu Zhang",1,Research output: Working paper,true,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/aasb-research-centre-working-paper-no-26-02-service-performance-r/
uwa-pub-fa96b1655dc7e67b,aasb-research-centre-working-paper-no-26-03-service-performance-r,AASB Research Centre Working Paper No. 26-03: Service Performance Reporting - Insights from Domestic and International Experience,2025,Published - 2025,https://research-repository.uwa.edu.au/en/publications/aasb-research-centre-working-paper-no-26-03-service-performance-r/,,,,,,,,,"Ushi Ghoorah, David Gilchrist, Vien Chu, Phil Hancock, Mono Nikidehaghani, Cherrie Yang, Yuyu Zhang",2,Research output: Working paper,true,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/aasb-research-centre-working-paper-no-26-03-service-performance-r/
uwa-pub-ed3bcd7880861d4f,aasb-research-report-8-literature-review-remuneration-reporting,AASB Research Report 8: Literature review - Remuneration Reporting,2019,Published - 21 Feb 2019,https://research-repository.uwa.edu.au/en/publications/aasb-research-report-8-literature-review-remuneration-reporting/,,,,,,8,8,,"Warrick Van Zyl, Marvin Wee",1,Research output: Book/Report › Other output,true,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/aasb-research-report-8-literature-review-remuneration-reporting/
uwa-pub-56586c9be1d1e634,aasb-working-paper-no-26-01-connectivity-of-non-financial-informa,AASB Working Paper No. 26-01: Connectivity of Non-Financial Information and Financial Information - A NFP Private Sector Study,2025,Published - 2025,https://research-repository.uwa.edu.au/en/publications/aasb-working-paper-no-26-01-connectivity-of-non-financial-informa/,,,,,,,,,"Ushi Ghoorah, David Gilchrist, Craig Furneaux, Phil Hancock, Nikki Schonfeldt",3,Research output: Working paper,true,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/aasb-working-paper-no-26-01-connectivity-of-non-financial-informa/
uwa-pub-17fcf322294f2270,abc-information-fairness-perceptions-and-interfirm-negotiations,"ABC Information, Fairness Perceptions, and Interfirm Negotiations",2012,Published - 2012,https://research-repository.uwa.edu.au/en/publications/abc-information-fairness-perceptions-and-interfirm-negotiations/,10.2308/accr-10214,Accounting Review,0001-4826,,0001-4826,87,3,951-973,"Stijn Masschelein, E. Cardinaels, A. Van Den Abbeele",1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/84870619941#tab=citedBy,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/abc-information-fairness-perceptions-and-interfirm-negotiations/
uwa-pub-94ee86227bde34b2,academic-practitioner-teaching-collaborations-a-pathway-for-revit,Academic-practitioner teaching collaborations - a pathway for revitalising accounting education,2006,Published - 2006,https://research-repository.uwa.edu.au/en/publications/academic-practitioner-teaching-collaborations-a-pathway-for-revit/,,,,,,,,,Glen Hutchings,1,Research output: Contribution to conference › Conference presentation/ephemera › peer-review,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/academic-practitioner-teaching-collaborations-a-pathway-for-revit/
uwa-pub-4d12fb2cd66c7d5a,academic-practitioner-teaching-collaborations-attracting-students,"Academic-practitioner teaching collaborations - attracting students to the accounting discipline - a collaboration between a professional body, big 4 firm and a tertiary institution to attract quality students to the accounting profession",2006,Published - 2006,https://research-repository.uwa.edu.au/en/publications/academic-practitioner-teaching-collaborations-attracting-students/,,,,,,,,,Glen Hutchings,1,Research output: Contribution to conference › Conference presentation/ephemera › peer-review,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/academic-practitioner-teaching-collaborations-attracting-students/
uwa-pub-fc8814ab44fcde58,academic-practitioner-teaching-collaborations-delivering-industry,Academic-practitioner teaching collaborations – delivering industry based case studies with practitioner support,2006,Published - 2006,https://research-repository.uwa.edu.au/en/publications/academic-practitioner-teaching-collaborations-delivering-industry/,,,,,,,,,Glen Hutchings,1,Research output: Contribution to conference › Conference presentation/ephemera › peer-review,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/academic-practitioner-teaching-collaborations-delivering-industry/
uwa-pub-dcfe18c628b8e4c9,accountability-for-the-public-policy-contribution-of-not-for-prof-2,"Accountability for the public policy contribution of not-for-profit organizations: Who is accountable to whom, and for what?",2017,Published - 5 Jul 2017,https://research-repository.uwa.edu.au/en/publications/accountability-for-the-public-policy-contribution-of-not-for-prof-2/,10.4324/9780203793008-6,,,,,,,49--66,"P. Wilkins, D. Gilchrist",1,Research output: Chapter in Book/Conference paper › Chapter › peer-review,false,https://www.scopus.com/pages/publications/85061708220#tab=citedBy,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/accountability-for-the-public-policy-contribution-of-not-for-prof-2/
uwa-pub-ccf6d527bdb7f7ea,accountability-for-the-public-policy-contribution-of-not-for-prof,Accountability for the Public Policy Contribution of Not-for-profit Organisations: Who is Accountable to Whom for What?,2016,Published - 2016,https://research-repository.uwa.edu.au/en/publications/accountability-for-the-public-policy-contribution-of-not-for-prof/,,,,,,,,49--66,"Peter Wilkins, David Gilchrist",1,Research output: Chapter in Book/Conference paper › Chapter › peer-review,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/accountability-for-the-public-policy-contribution-of-not-for-prof/
uwa-pub-f2506848d9c07005,accounting-for-crypto-assets-stakeholders-perceptions,Accounting for crypto-assets: Stakeholders' perceptions,2022,Published - 22 Apr 2022,https://research-repository.uwa.edu.au/en/publications/accounting-for-crypto-assets-stakeholders-perceptions/,10.1108/sef-10-2021-0469,Studies in Economics and Finance,1086-7376,,1086-7376,39,3,471-489,"Jun Heng Chou, Prerana Agrawal, Jac Birt",1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/85122756516#tab=citedBy,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/accounting-for-crypto-assets-stakeholders-perceptions/
uwa-pub-842d39f76525e5e1,accounting-for-financial-instruments-with-characteristics-of-debt,Accounting for financial instruments with characteristics of debt and equity: finding a way forward,2019,Published - Mar 2019,https://research-repository.uwa.edu.au/en/publications/accounting-for-financial-instruments-with-characteristics-of-debt/,10.1111/acfi.12280,Accounting & Finance,1467-629X,,1467-629X,59,1,7-58,"Neil Fargher, Baljit K. Sidhu, Ann Tarca, Warrick van Zyl",2,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/85052643735#tab=citedBy,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/accounting-for-financial-instruments-with-characteristics-of-debt/
uwa-pub-fe8c21f5b80f830f,accounting-for-taxes-public-sector-reporting-and-the-accountabili,Accounting for Taxes: Public Sector Reporting and the Accountability Conundrum,2018,Published - 29 Jun 2018,https://research-repository.uwa.edu.au/en/publications/accounting-for-taxes-public-sector-reporting-and-the-accountabili/,,,,,,,,,David Gilchrist,1,Research output: Contribution to conference › Conference presentation/ephemera,true,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/accounting-for-taxes-public-sector-reporting-and-the-accountabili/
uwa-pub-2580257d74a7c380,accounting-for-the-future-more-than-numbers,Accounting for the future: more than numbers,2009,Published - 2009,https://research-repository.uwa.edu.au/en/publications/accounting-for-the-future-more-than-numbers/,,,,,,Volume 1,,,"Phil Hancock, B.A. Howieson, M. Kavanagh, J. Kent, I. Tempone, Naomi Segal",1,Research output: Book/Report › Other output,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/accounting-for-the-future-more-than-numbers/
uwa-pub-26524707f345b53c,accounting-for-the-future,Accounting for the Future,2010,Published - 2010,https://research-repository.uwa.edu.au/en/publications/accounting-for-the-future/,,,,,,,,54--62,"Phil Hancock, B.A. Howieson, M. Kavanagh, J. Kent, I. Tempone, Naomi Segal",1,Research output: Chapter in Book/Conference paper › Chapter,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/accounting-for-the-future/
uwa-pub-d9432955e0dbadd2,accounting-students-in-an-australian-university-improve-their-wri,Accounting Students in an Australian University Improve their Writing: But How Did it Happen?,2013,Published - 2013,https://research-repository.uwa.edu.au/en/publications/accounting-students-in-an-australian-university-improve-their-wri/,10.1080/09639284.2013.847321,Accounting Education,0963-9284,,0963-9284,22,6,544-562,"Gillian Dale-Jones, Phil Hancock, K. Willey",1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/84890680240#tab=citedBy,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/accounting-students-in-an-australian-university-improve-their-wri/
uwa-pub-1aed369538eadd05,accreditation-pathways-for-accounting-programs-in-australia-chang,Accreditation Pathways for Accounting Programs in Australia: Changes to the Regulatory Environment,2012,Published - 2012,https://research-repository.uwa.edu.au/en/publications/accreditation-pathways-for-accounting-programs-in-australia-chang/,,,,,,3,,73--84,"M. Freeman, Phil Hancock",1,Research output: Chapter in Book/Conference paper › Chapter › peer-review,false,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/accreditation-pathways-for-accounting-programs-in-australia-chang/
uwa-pub-291462abe30e7ade,afaanz-sig-6-paper-measuring-volunteering-in-australia,AFAANZ SIG 6 Paper: Measuring Volunteering in Australia,2022,Published - 3 Jul 2022,https://research-repository.uwa.edu.au/en/publications/afaanz-sig-6-paper-measuring-volunteering-in-australia/,,,,,,,,,"Craig Furneaux, David Gilchrist",1,Research output: Contribution to conference › Conference presentation/ephemera,true,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/afaanz-sig-6-paper-measuring-volunteering-in-australia/
uwa-pub-74425cd7a9c7157f,afaanz-sig-6-paper-the-welfare-state-pejorative-or-necessity-a-pr,AFAANZ SIG 6 Paper: The Welfare State - Pejorative or Necessity? A Prospective Research Agenda,2022,Published - 3 Jul 2022,https://research-repository.uwa.edu.au/en/publications/afaanz-sig-6-paper-the-welfare-state-pejorative-or-necessity-a-pr/,,,,,,,,,David Gilchrist,1,Research output: Contribution to conference › Conference presentation/ephemera,true,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/afaanz-sig-6-paper-the-welfare-state-pejorative-or-necessity-a-pr/
uwa-pub-13bd9962395eebaf,afaanz-sig-6-presentation-overview-of-the-australian-nonprofit-ac,AFAANZ SIG 6 Presentation: Overview of the Australian Nonprofit Accounting Standards Research Program,2022,Published - 3 Jul 2022,https://research-repository.uwa.edu.au/en/publications/afaanz-sig-6-presentation-overview-of-the-australian-nonprofit-ac/,,,,,,,,,David Gilchrist,1,Research output: Contribution to conference › Conference presentation/ephemera,true,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/afaanz-sig-6-presentation-overview-of-the-australian-nonprofit-ac/
uwa-pub-75d6b61eee87c64e,ai-competition-and-firm-value-evidence-from-deepseeks-disruption,AI competition and firm value: Evidence from DeepSeek's disruption,2025,Published - Jun 2025,https://research-repository.uwa.edu.au/en/publications/ai-competition-and-firm-value-evidence-from-deepseeks-disruption/,10.1016/j.frl.2025.107447,Finance Research Letters,1544-6123,,1544-6123,80,,,Xing Yang,1,Research output: Contribution to journal › Article › peer-review,true,https://www.scopus.com/pages/publications/105003252268#tab=citedBy,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/ai-competition-and-firm-value-evidence-from-deepseeks-disruption/
uwa-pub-d9dfa7637fdb0528,airlangga-university-school-of-accounting-seminar-series-a-step-b,Airlangga University School of Accounting Seminar Series: A Step-by-Step Approach to Conducting Research in Not-for-profit Organisations,2022,Published - 12 Apr 2022,https://research-repository.uwa.edu.au/en/publications/airlangga-university-school-of-accounting-seminar-series-a-step-b/,,,,,,,,,David Gilchrist,1,Research output: Contribution to conference › Conference presentation/ephemera,true,,Accounting,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/airlangga-university-school-of-accounting-seminar-series-a-step-b/
