"researcher_id","researcher_name","academic_title","academic_level","publication_id","publication_title","publication_year","article_url","doi","journal","issn","eissn","abdc_rating","abdc_for","author_name_from_repository","researcher_match_method","researcher_match_confidence","abdc_match_method","abdc_match_status"
"uwa-accounting-004","David Gilchrist","Professor","E","a-new-commonwealth-individual-disability-advocacy-program-submiss","A New Commonwealth Individual Disability Advocacy Program: Submission to the Department of Health, Ageing and Disability","2026","https://research-repository.uwa.edu.au/en/publications/a-new-commonwealth-individual-disability-advocacy-program-submiss/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-007","George Shan","Associate Professor","D","asymmetric-impact-of-compliance-management-reform-on-opportunisti","Asymmetric impact of compliance management reform on opportunistic insider trading: Evidence from Chinese state-owned enterprises","2026","https://research-repository.uwa.edu.au/en/publications/asymmetric-impact-of-compliance-management-reform-on-opportunisti/","10.1016/j.ememar.2026.101438","Emerging Markets Review","1566-0141","","A","3502","Yuan George Shan","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-004","David Gilchrist","Professor","E","civil-society-and-social-capital-in-australia-and-new-zealand","Civil Society and Social Capital in Australia and New Zealand","2026","https://research-repository.uwa.edu.au/en/publications/civil-society-and-social-capital-in-australia-and-new-zealand/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-014","Prerana Agrawal","Lecturer","B","developing-professional-scepticism-in-the-accounting-classroom-a-","Developing Professional Scepticism in the Accounting Classroom: A Case Study Approach","2026","https://research-repository.uwa.edu.au/en/publications/developing-professional-scepticism-in-the-accounting-classroom-a-/","10.1111/acfi.70206","Accounting & Finance","0810-5391","","A","3501","Prerana Agrawal","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-011","Mark Holub","Lecturer","B","developing-professional-scepticism-in-the-accounting-classroom-a-","Developing Professional Scepticism in the Accounting Classroom: A Case Study Approach","2026","https://research-repository.uwa.edu.au/en/publications/developing-professional-scepticism-in-the-accounting-classroom-a-/","10.1111/acfi.70206","Accounting & Finance","0810-5391","","A","3501","Mark Holub","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-020","Warrick Van Zyl","Associate Professor","D","developing-professional-scepticism-in-the-accounting-classroom-a-","Developing Professional Scepticism in the Accounting Classroom: A Case Study Approach","2026","https://research-repository.uwa.edu.au/en/publications/developing-professional-scepticism-in-the-accounting-classroom-a-/","10.1111/acfi.70206","Accounting & Finance","0810-5391","","A","3501","Warrick Van Zyl","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-007","George Shan","Associate Professor","D","do-corporate-imitation-behaviors-of-csr-practices-affect-bank-loa","Do corporate imitation behaviors of CSR practices affect bank loan contracting? Evidence from a text-based measure","2026","https://research-repository.uwa.edu.au/en/publications/do-corporate-imitation-behaviors-of-csr-practices-affect-bank-loa/","10.1108/IJMF-04-2025-0173","International Journal of Managerial Finance","1743-9132","","A","3502","Yuan George Shan","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-002","Alex Zhang","Lecturer","B","does-artificial-intelligence-mitigate-climate-change-exposure","Does artificial intelligence mitigate climate change exposure?","2026","https://research-repository.uwa.edu.au/en/publications/does-artificial-intelligence-mitigate-climate-change-exposure/","10.1016/j.jbankfin.2025.107623","Journal of Banking & Finance","1872-6372","","A*","3502","Alex Zhang","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-007","George Shan","Associate Professor","D","from-human-hands-to-machine-minds-financing-ai-driven-entrepreneu-2","From Human Hands to Machine Minds: Financing AI-Driven Entrepreneurship in Reward-Based Crowdfunding","2026","https://research-repository.uwa.edu.au/en/publications/from-human-hands-to-machine-minds-financing-ai-driven-entrepreneu-2/","10.1111/acfi.70207","Accounting and Finance","0810-5391","","A","3501","Yuan George Shan","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-007","George Shan","Associate Professor","D","grain-by-grain-how-rice-farming-cultivates-esg-rating-consistency","Grain by grain: How rice farming cultivates ESG rating consistency?","2026","https://research-repository.uwa.edu.au/en/publications/grain-by-grain-how-rice-farming-cultivates-esg-rating-consistency/","10.1016/j.ememar.2026.101525","Emerging Markets Review","1566-0141","","A","3502","Yuan George Shan","Pure profile URL","high","ISSN/eISSN","matched"
