journal_title,publisher,issn,online_issn,year_inception,field_of_research,abdc_rating,abdc_list_version,source_url
4OR,Springer Nature,1619-4500,1614-2411,2003,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
AACE International Transactions,AACE International,1528-7106,1528-7106,1967,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Abacus,Wiley-Blackwell Publishing,0001-3072,1467-6281,1965,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Academia Economic Papers,"Institute of Economics, Academia Sinica",1018-161X,,1973,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Academy of Management Annals,Academy of Management,1941-6520,1941-6067,2008,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Academy of Management Discoveries,Academy of Management,2168-1007,,2015,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Academy of Management Journal,Academy of Management,0001-4273,1948-0989,1958,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Academy of Management Learning and Education,Academy of Management,1537-260X,1944-9585,2002,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Academy of Management Perspectives,Academy of Management,1558-9080,1943-4529,1987,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Academy of Management Review,Academy of Management,0363-7425,1930-3807,1976,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Academy of Marketing Studies Journal,Allied Business Academies,1095-6298,1528-2678,1980,3506,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accident Analysis and Prevention,Elsevier,0001-4575,1879-2057,1969,3509,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accountancy Business and the Public Interest,Association for Accountancy & Business Affairs,1745-7718,,2002,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting & Finance Journal / Revista Contabilidade & Finanças,University of São Paulo,1519-7077,1808-057X,,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting Accountability and Performance,Griffith University,1445-954X,,1995,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting and Business Research,Taylor & Francis Online,0001-4788,2159-4260,1970,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting and Finance,Wiley-Blackwell Publishing,0810-5391,1467-629X,1961,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting and Taxation,Institute for Business and Finance Research,1944-592X,,2007,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting and the Public Interest,American Accounting Association,1530-9320,,2001,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting Auditing and Accountability Journal,Emerald Group Publishing Limited,0951-3574,1758-4205,1988,3501,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting Education,Taylor & Francis Online,0963-9284,1468-4489,1992,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting Educators Journal,Academy of Accounting Educators Inc.,1041-0392,,1988,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting Forum,Taylor & Francis Online,0155-9982,1467-6303,2004,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting Historians Journal,American Accounting Association,0148-4184,,1977,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
