publication_id,source_record_id,title,publication_year,publication_status,article_url,doi,journal_name,issn,eissn,all_issns,volume,issue,pages,authors,author_count,publication_type,open_access,scopus_url,field_of_research,official_source,source_url
uwa-pub-3775d6df73ab0252,30-day-interbank-futures-investigating-the-process-of-price-disco,30-Day Interbank futures: Investigating the process of price discovery following RBA cash target rate announcements,2012,Published - Oct 2012,https://research-repository.uwa.edu.au/en/publications/30-day-interbank-futures-investigating-the-process-of-price-disco/,10.1016/j.intfin.2011.12.004,"Journal of International Financial Markets, Institutions and Money",1042-4431,,1042-4431,22,4,1006-1023,Lee A. Smales,1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/84864385218#tab=citedBy,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/30-day-interbank-futures-investigating-the-process-of-price-disco/
uwa-pub-dc55b1f8a149e123,a-closer-look-at-the-relationship-between-firm-specific-return-va,A closer look at the relationship between firm-specific return variation and stock returns,2023,Published - 17 Jul 2023,https://research-repository.uwa.edu.au/en/publications/a-closer-look-at-the-relationship-between-firm-specific-return-va/,10.1108/jal-02-2023-0020,Journal of Accounting Literature,0737-4607,,0737-4607,46,2,277-292,"Ha Nguyen, Yihui Lan, Sirimon Treepongkaruna",2,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/105043782889#tab=citedBy,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-closer-look-at-the-relationship-between-firm-specific-return-va/
uwa-pub-324714ce09b2063c,a-crypto-safe-haven-against-bitcoin,A crypto safe haven against Bitcoin,2021,Published - Jan 2021,https://research-repository.uwa.edu.au/en/publications/a-crypto-safe-haven-against-bitcoin/,10.1016/j.frl.2020.101431,Finance Research Letters,1544-6123,,1544-6123,38,,,"Dirk G. Baur, Lai T. Hoang",2,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/85078098113#tab=citedBy,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-crypto-safe-haven-against-bitcoin/
uwa-pub-41f28b419a368553,a-fixed-time-effects-model-of-contagion,A Fixed-Time Effects Model of Contagion,2011,Published - 2011,https://research-repository.uwa.edu.au/en/publications/a-fixed-time-effects-model-of-contagion/,10.1002/9781118267646.ch10,,,,,11,,87--92,"Dirk Baur, R.A. Fry",1,Research output: Chapter in Book/Conference paper › Chapter › peer-review,false,,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-fixed-time-effects-model-of-contagion/
uwa-pub-f207b24239f40c48,a-game-theory-model-of-regulatory-response-to-insider-trading,A game theory model of regulatory response to insider trading,2017,Published - 16 Apr 2017,https://research-repository.uwa.edu.au/en/publications/a-game-theory-model-of-regulatory-response-to-insider-trading/,10.1080/13504851.2016.1200179,Applied Economics Letters,1350-4851,,1350-4851,24,7,448-455,"L. A. Smales, Matthius Thul",1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/84976533822#tab=citedBy,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-game-theory-model-of-regulatory-response-to-insider-trading/
uwa-pub-aab2b67a2f48df43,a-general-equilibrium-approach-to-pricing-volatility-risk,A general equilibrium approach to pricing volatility risk,2019,Published - 12 Apr 2019,https://research-repository.uwa.edu.au/en/publications/a-general-equilibrium-approach-to-pricing-volatility-risk/,10.1371/journal.pone.0215032,PLoS One,1932-6203,,1932-6203,14,4,,"Jianlei Han, Martina Linnenluecke, Zhangxin Liu, Zheyao Pan, Tom Smith",1,Research output: Contribution to journal › Article › peer-review,true,https://www.scopus.com/pages/publications/85064354064#tab=citedBy,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-general-equilibrium-approach-to-pricing-volatility-risk/
uwa-pub-a1e52119f09d9899,a-hedging-strategy-for-new-zealands-exporters-in-transaction-expo,A Hedging Strategy for New Zealand’s Exporters in Transaction Exposure to Currency Risk,2005,Published - 29 May 2005,https://research-repository.uwa.edu.au/en/publications/a-hedging-strategy-for-new-zealands-exporters-in-transaction-expo/,10.17578/7-1/2-2,Multinational Finance Journal,1096-1879,,1096-1879,7,1/2,25-54,"Kam Chan, Christopher Gan, Patricia McGraw",1,Research output: Contribution to journal › Article › peer-review,false,,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-hedging-strategy-for-new-zealands-exporters-in-transaction-expo/
uwa-pub-bccdb62ae5c5e188,a-mediating-role-for-anticipated-regret-in-predicting-retirement-,A mediating role for anticipated regret in predicting retirement savings intention between groups with (without) past behaviour,2015,Published - 2015,https://research-repository.uwa.edu.au/en/publications/a-mediating-role-for-anticipated-regret-in-predicting-retirement-/,10.1111/ajpy.12070,Australian Journal of Psychology,0004-9530,,0004-9530,67,2,87-96,"G. Croy, Paul Gerrans, C.P. Speelman",1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/84928359081#tab=citedBy,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-mediating-role-for-anticipated-regret-in-predicting-retirement-/
uwa-pub-061348672622221d,a-melting-pot-gold-price-forecasts-under-model-and-parameter-unce,A melting pot — Gold price forecasts under model and parameter uncertainty,2016,Published - 1 Dec 2016,https://research-repository.uwa.edu.au/en/publications/a-melting-pot-gold-price-forecasts-under-model-and-parameter-unce/,10.1016/j.irfa.2016.10.010,International Review of Financial Analysis,1057-5219,,1057-5219,48,,282-291,"Dirk Baur, J. Beckmann, R. Czudaj",1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/85002823515#tab=citedBy,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-melting-pot-gold-price-forecasts-under-model-and-parameter-unce/
uwa-pub-c973c1265b2ce679,a-new-approach-to-characterizing-and-forecasting-electricity-pric,A new approach to characterizing and forecasting electricity price volatility,2008,Published - Oct 2008,https://research-repository.uwa.edu.au/en/publications/a-new-approach-to-characterizing-and-forecasting-electricity-pric/,10.1016/j.ijforecast.2008.08.002,International Journal of Forecasting,0169-2070,,0169-2070,24,4,728-743,"Kam Fong Chan, Philip Gray, Bart van Campen",1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/55349134572#tab=citedBy,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-new-approach-to-characterizing-and-forecasting-electricity-pric/
uwa-pub-c052bcd7148dac34,a-new-approach-to-forecasting-exchange-rates-2,A New Approach To Forecasting Exchange Rates,2006,Published - 2006,https://research-repository.uwa.edu.au/en/publications/a-new-approach-to-forecasting-exchange-rates-2/,,,,,,6,29,,"Kenneth Clements, Yihui Lan",2,Research output: Working paper › Discussion paper,true,,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-new-approach-to-forecasting-exchange-rates-2/
uwa-pub-180715d00d06763d,a-new-approach-to-forecasting-exchange-rates,A new approach to forecasting exchange rates,2010,Published - 2010,https://research-repository.uwa.edu.au/en/publications/a-new-approach-to-forecasting-exchange-rates/,10.1016/j.jimonfin.2010.03.009,Journal of International Money and Finance,0261-5606,,0261-5606,29,,1424-1437,"Kenneth Clements, Yihui Lan",2,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/77956425868#tab=citedBy,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-new-approach-to-forecasting-exchange-rates/
uwa-pub-ec3d6ab1dc9cc9ee,a-new-government-bond-volatility-index-predictor-for-the-us-equit,A new government bond volatility index predictor for the U.S. equity premium,2018,Published - Sept 2018,https://research-repository.uwa.edu.au/en/publications/a-new-government-bond-volatility-index-predictor-for-the-us-equit/,10.1016/j.pacfin.2016.12.007,Pacific Basin Finance Journal,0927-538X,,0927-538X,50,,200-215,"Zheyao Pan, Kam Fong Chan",1,Research output: Contribution to journal › Article › peer-review,true,https://www.scopus.com/pages/publications/85044753326#tab=citedBy,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-new-government-bond-volatility-index-predictor-for-the-us-equit/
uwa-pub-3a032a9462ae8f29,a-note-on-testing-a-model-of-cognitive-budgetary-participation-pr,A Note on Testing a Model of Cognitive Budgetary Participation Processes Using a Structural Equation Modeling Approach,2002,Published - 2002,https://research-repository.uwa.edu.au/en/publications/a-note-on-testing-a-model-of-cognitive-budgetary-participation-pr/,10.1016/s0882-6110(02)19003-1,Advances in Accounting,,,,19,,27-51,Vincent Chong,1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/33744508010#tab=citedBy,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-note-on-testing-a-model-of-cognitive-budgetary-participation-pr/
uwa-pub-072943156a56f1c0,a-quantile-regression-approach-to-estimate-the-variance-of-financ,A Quantile Regression Approach to Estimate the Variance of Financial Returns,2019,Published - 1 Sept 2019,https://research-repository.uwa.edu.au/en/publications/a-quantile-regression-approach-to-estimate-the-variance-of-financ/,10.1093/jjfinec/nby026,Journal of Financial Econometrics,1479-8409,,1479-8409,17,4,616-644,"Dirk G. Baur, Thomas Dimpfl",1,Research output: Contribution to journal › Article › peer-review,false,https://www.scopus.com/pages/publications/85055974066#tab=citedBy,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-quantile-regression-approach-to-estimate-the-variance-of-financ/
uwa-pub-039735bb5c226980,a-state-price-volatility-index-for-chinas-stock-market,A State-Price Volatility index for China's stock market,2016,Published - 1 Sept 2016,https://research-repository.uwa.edu.au/en/publications/a-state-price-volatility-index-for-chinas-stock-market/,10.1111/acfi.12124,Accounting and Finance,0810-5391,,0810-5391,56,3,607–626,"M. O'Neill, K. Wang, Frank Liu",1,Research output: Contribution to journal › Article › peer-review,true,https://www.scopus.com/pages/publications/84928381699#tab=citedBy,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-state-price-volatility-index-for-chinas-stock-market/
uwa-pub-6dc7dd695a8489a5,a-stochastic-measure-of-international-competitiveness-2,A Stochastic Measure of International Competitiveness,2005,Published - 2005,https://research-repository.uwa.edu.au/en/publications/a-stochastic-measure-of-international-competitiveness-2/,,,,,,5,15,,"Kenneth Clements, H.Y. Izan, Yihui Lan",3,Research output: Working paper › Discussion paper,true,,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-stochastic-measure-of-international-competitiveness-2/
uwa-pub-246a63ca42f7a536,a-stochastic-measure-of-international-competitiveness,A Stochastic Measure of International Competitiveness,2009,Published - 2009,https://research-repository.uwa.edu.au/en/publications/a-stochastic-measure-of-international-competitiveness/,,International Review of Finance,1369-412X,,1369-412X,9,1-2,51-81,"Kenneth Clements, Izan Izan, Yihui Lan",3,Research output: Contribution to journal › Article › peer-review,false,,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-stochastic-measure-of-international-competitiveness/
uwa-pub-ba9884ddc14d67e7,a-study-of-acquiring-firm-returns-around-merger-and-acquisition-m,A study of acquiring firm returns around merger and acquisition (M&A)announcements with a focus on multiple acquisitions and director trading,2016,Unpublished - 2016,https://research-repository.uwa.edu.au/en/publications/a-study-of-acquiring-firm-returns-around-merger-and-acquisition-m/,,,,,,,,,Md Mosharraf Hossain,1,Research output: Thesis › Doctoral Thesis,false,,Finance,UWA Profiles and Research Repository (Pure),https://research-repository.uwa.edu.au/en/publications/a-study-of-acquiring-firm-returns-around-merger-and-acquisition-m/
