researcher_id,researcher_name,publication_id,relationship_source,researcher_match_method,researcher_match_confidence,requires_review,review_reason
uwa-finance-001,Chloe Ho,uwa-pub-25a399a9266ab5d4,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-010,Kam Chan,uwa-pub-25a399a9266ab5d4,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-001,Chloe Ho,uwa-pub-d78d4655c55cb1e8,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-009,Joey Yang,uwa-pub-d78d4655c55cb1e8,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-001,Chloe Ho,uwa-pub-063f50ec528ceebe,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-017,Rui Zhong,uwa-pub-063f50ec528ceebe,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-001,Chloe Ho,uwa-pub-27773012d08f4b9d,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-017,Rui Zhong,uwa-pub-27773012d08f4b9d,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-001,Chloe Ho,uwa-pub-58a50f9231a8f32b,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-009,Joey Yang,uwa-pub-58a50f9231a8f32b,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-001,Chloe Ho,uwa-pub-4b994af938d0eed2,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-001,Chloe Ho,uwa-pub-f95a101ad2826ec7,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-001,Chloe Ho,uwa-pub-3a8fbf6af403b8b3,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-001,Chloe Ho,uwa-pub-20beda16b83cdb69,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-001,Chloe Ho,uwa-pub-c69a62f04e3f0bd0,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-c69a62f04e3f0bd0,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-009,Joey Yang,uwa-pub-c69a62f04e3f0bd0,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-001,Chloe Ho,uwa-pub-bec6fa39776e7913,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-bec6fa39776e7913,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-009,Joey Yang,uwa-pub-bec6fa39776e7913,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-001,Chloe Ho,uwa-pub-d913f96f2cc4c404,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-001,Chloe Ho,uwa-pub-a634ca983dd7b192,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-001,Chloe Ho,uwa-pub-cc06e0aad9daca1b,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-001,Chloe Ho,uwa-pub-6048ef222555ce27,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-856e22dade8e1c1f,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-007,Frank Liu,uwa-pub-856e22dade8e1c1f,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-013,Lee Smales,uwa-pub-856e22dade8e1c1f,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-782d0e544a0846ff,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-007,Frank Liu,uwa-pub-782d0e544a0846ff,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-013,Lee Smales,uwa-pub-782d0e544a0846ff,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-0288c0783552df13,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-007,Frank Liu,uwa-pub-0288c0783552df13,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-cadf1d144b357a6c,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-ee2aeebb683ad788,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-598ab88e6e49a3b8,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-007,Frank Liu,uwa-pub-598ab88e6e49a3b8,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-72adba2d588b36a6,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-003,Dirk Baur,uwa-pub-72adba2d588b36a6,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-007,Frank Liu,uwa-pub-72adba2d588b36a6,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-009,Joey Yang,uwa-pub-72adba2d588b36a6,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-9f045ee724a1c9c0,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-009,Joey Yang,uwa-pub-9f045ee724a1c9c0,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-cd0326d2919a42a8,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-003,Dirk Baur,uwa-pub-cd0326d2919a42a8,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-007,Frank Liu,uwa-pub-cd0326d2919a42a8,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-26e2bc5718ca92fb,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-009,Joey Yang,uwa-pub-26e2bc5718ca92fb,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-edfad83e5ee39031,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-007,Frank Liu,uwa-pub-edfad83e5ee39031,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-dd056b6e95e08069,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-003,Dirk Baur,uwa-pub-dd056b6e95e08069,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-007,Frank Liu,uwa-pub-dd056b6e95e08069,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-3391ef1c3d7d488a,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-003,Dirk Baur,uwa-pub-3391ef1c3d7d488a,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-007,Frank Liu,uwa-pub-3391ef1c3d7d488a,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-37ddd814f817ea92,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-003,Dirk Baur,uwa-pub-37ddd814f817ea92,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-007,Frank Liu,uwa-pub-37ddd814f817ea92,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-009,Joey Yang,uwa-pub-37ddd814f817ea92,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-finance-002,Daniel Cahill,uwa-pub-e74e54ec93e22fbd,official personal Pure publications feed,profile_feed_membership,high,false,
