espace_id,name,journal_name,title,year,author_count,authors,quality_rank,sjr_quartile,doi,article_url,link,source,citation_percentile,cited_by_count,fwci,university,field_of_research,researcher_id,publication_id,issn,eissn,item_type,publication_status,abdc_match_method,abdc_match_status,harvested_at
uwa-accounting-002,Alex Zhang,Journal of Banking & Finance,Does artificial intelligence mitigate climate change exposure?,2026,3,Alex Zhang; Le Luo; Joey Yang,A*,,10.1016/j.jbankfin.2025.107623,https://doi.org/10.1016/j.jbankfin.2025.107623,https://research-repository.uwa.edu.au/en/publications/does-artificial-intelligence-mitigate-climate-change-exposure/,UWA Profiles and Research Repository (Pure),,,,University of Western Australia,Accounting,uwa-accounting-002,does-artificial-intelligence-mitigate-climate-change-exposure,1872-6372,,Research output: Contribution to journal › Article › peer-review,Published - Feb 2026,ISSN/eISSN,matched,2026-08-11T16:56:18.032Z
uwa-accounting-002,Alex Zhang,The British Accounting Review,Is internal carbon pricing an agent of change in the green transition?,2026,3,Huifa Chen; Yuan George Shan; Alex Zhang,A*,,10.1016/j.bar.2025.101776,https://doi.org/10.1016/j.bar.2025.101776,https://research-repository.uwa.edu.au/en/publications/is-internal-carbon-pricing-an-agent-of-change-in-the-green-transi/,UWA Profiles and Research Repository (Pure),,,,University of Western Australia,Accounting,uwa-accounting-002,is-internal-carbon-pricing-an-agent-of-change-in-the-green-transi,0890-8389,,Research output: Contribution to journal › Article › peer-review,Published - Jul 2026,ISSN/eISSN,matched,2026-08-11T16:56:18.032Z
uwa-accounting-002,Alex Zhang,Accounting and Finance,Carbon Management System and Firm Operational Efficiency,2025,4,Pramila Shrestha; Bobae Choi; Le Luo; Junru Zhang,A,,10.1111/acfi.70086,https://doi.org/10.1111/acfi.70086,https://research-repository.uwa.edu.au/en/publications/carbon-management-system-and-firm-operational-efficiency/,UWA Profiles and Research Repository (Pure),,,,University of Western Australia,Accounting,uwa-accounting-002,carbon-management-system-and-firm-operational-efficiency,0810-5391,,Research output: Contribution to journal › Article › peer-review,Published - Dec 2025,ISSN/eISSN,matched,2026-08-11T16:56:18.032Z
uwa-accounting-004,David Gilchrist,,"A New Commonwealth Individual Disability Advocacy Program: Submission to the Department of Health, Ageing and Disability",2026,2,David Gilchrist; Ben Perks,,,,https://research-repository.uwa.edu.au/en/publications/a-new-commonwealth-individual-disability-advocacy-program-submiss/,https://research-repository.uwa.edu.au/en/publications/a-new-commonwealth-individual-disability-advocacy-program-submiss/,UWA Profiles and Research Repository (Pure),,,,University of Western Australia,Accounting,uwa-accounting-004,a-new-commonwealth-individual-disability-advocacy-program-submiss,,,Research output: Working paper › Discussion paper,Published - 16 Jan 2026,unmatched,unmatched,2026-08-11T16:56:18.032Z
uwa-accounting-004,David Gilchrist,,Civil Society and Social Capital in Australia and New Zealand,2026,2,David Gilchrist; Ben Perks,,,,https://research-repository.uwa.edu.au/en/publications/civil-society-and-social-capital-in-australia-and-new-zealand/,https://research-repository.uwa.edu.au/en/publications/civil-society-and-social-capital-in-australia-and-new-zealand/,UWA Profiles and Research Repository (Pure),,,,University of Western Australia,Accounting,uwa-accounting-004,civil-society-and-social-capital-in-australia-and-new-zealand,,,Research output: Chapter in Book/Conference paper › Entry for encyclopedia/dictionary › peer-review,Published - 2026,unmatched,unmatched,2026-08-11T16:56:18.032Z
uwa-accounting-004,David Gilchrist,Financial Accountability and Management,The Role of Management Controls in Managing Competing Institutional Logics: A Case Study of a Non-Government Organization,2026,4,Frank Yuelong Ma; David Gilchrist; Vincent K. Chong; Lyndie Bayne,A,,10.1111/faam.70023,https://doi.org/10.1111/faam.70023,https://research-repository.uwa.edu.au/en/publications/the-role-of-management-controls-in-managing-competing-institution/,UWA Profiles and Research Repository (Pure),,,,University of Western Australia,Accounting,uwa-accounting-004,the-role-of-management-controls-in-managing-competing-institution,0267-4424,,Research output: Contribution to journal › Article › peer-review,Published - May 2026,ISSN/eISSN,matched,2026-08-11T16:56:18.032Z
uwa-accounting-004,David Gilchrist,,"A New Approach to Programs for Families and Children: Submission to the Department of Social Services, Australian Government",2025,2,David Gilchrist; Ben Perks,,,,https://research-repository.uwa.edu.au/en/publications/a-new-approach-to-programs-for-families-and-children-submission-t/,https://research-repository.uwa.edu.au/en/publications/a-new-approach-to-programs-for-families-and-children-submission-t/,UWA Profiles and Research Repository (Pure),,,,University of Western Australia,Accounting,uwa-accounting-004,a-new-approach-to-programs-for-families-and-children-submission-t,,,Research output: Working paper › Discussion paper,Published - 8 Dec 2025,unmatched,unmatched,2026-08-11T16:56:18.032Z
uwa-accounting-004,David Gilchrist,,AASB Research Centre Working Paper No. 26-02: Service Performance Reporting for Private Sector Not-for-profits - An Updated Literature Review,2025,6,Ushi Ghoorah; David Gilchrist; Vien Chu; Mono Nikidehaghani; Cheri Yang; Yuyu Zhang,,,,https://research-repository.uwa.edu.au/en/publications/aasb-research-centre-working-paper-no-26-02-service-performance-r/,https://research-repository.uwa.edu.au/en/publications/aasb-research-centre-working-paper-no-26-02-service-performance-r/,UWA Profiles and Research Repository (Pure),,,,University of Western Australia,Accounting,uwa-accounting-004,aasb-research-centre-working-paper-no-26-02-service-performance-r,,,Research output: Working paper,Published - 2025,unmatched,unmatched,2026-08-11T16:56:18.032Z
uwa-accounting-004,David Gilchrist,,AASB Research Centre Working Paper No. 26-03: Service Performance Reporting - Insights from Domestic and International Experience,2025,7,Ushi Ghoorah; David Gilchrist; Vien Chu; Phil Hancock; Mono Nikidehaghani; Cherrie Yang; Yuyu Zhang,,,,https://research-repository.uwa.edu.au/en/publications/aasb-research-centre-working-paper-no-26-03-service-performance-r/,https://research-repository.uwa.edu.au/en/publications/aasb-research-centre-working-paper-no-26-03-service-performance-r/,UWA Profiles and Research Repository (Pure),,,,University of Western Australia,Accounting,uwa-accounting-004,aasb-research-centre-working-paper-no-26-03-service-performance-r,,,Research output: Working paper,Published - 2025,unmatched,unmatched,2026-08-11T16:56:18.032Z
uwa-accounting-004,David Gilchrist,,AASB Working Paper No. 26-01: Connectivity of Non-Financial Information and Financial Information - A NFP Private Sector Study,2025,5,Ushi Ghoorah; David Gilchrist; Craig Furneaux; Phil Hancock; Nikki Schonfeldt,,,,https://research-repository.uwa.edu.au/en/publications/aasb-working-paper-no-26-01-connectivity-of-non-financial-informa/,https://research-repository.uwa.edu.au/en/publications/aasb-working-paper-no-26-01-connectivity-of-non-financial-informa/,UWA Profiles and Research Repository (Pure),,,,University of Western Australia,Accounting,uwa-accounting-004,aasb-working-paper-no-26-01-connectivity-of-non-financial-informa,,,Research output: Working paper,Published - 2025,unmatched,unmatched,2026-08-11T16:56:18.032Z
